;Country;Happiness Rank;Happiness;Economy;Family;Health;Freedom;Trust;Generosity;Year;Region
514;Kuwait;45;6.083;1.474;1.301;0.675;0.554;0.106;0.167;2018;Middle East and North Africa
515;Thailand;46;6.072;1.016;1.417;0.707;0.637;0.029;0.364;2018;Southeast Asia
516;Italy;47;6;1.264;1.501;0.946;0.281;0.028;0.137;2018;Western Europe
517;Ecuador;48;5.973;0.889;1.33;0.736;0.556;0.12;0.114;2018;Latin America and Caribbean
519;Lithuania;50;5.952;1.197;1.527;0.716;0.35;0.006;0.026;2018;Central and Eastern Europe
520;Slovenia;51;5.948;1.219;1.506;0.856;0.633;0.051;0.16;2018;Central and Eastern Europe
521;Romania;52;5.945;1.116;1.219;0.726;0.528;0.001;0.088;2018;Central and Eastern Europe
522;Latvia;53;5.933;1.148;1.454;0.671;0.363;0.066;0.092;2018;Central and Eastern Europe
523;Japan;54;5.915;1.294;1.462;0.988;0.553;0.15;0.079;2018;East Asia
524;Mauritius;55;5.891;1.09;1.387;0.684;0.584;0.05;0.245;2018;Sub-Saharan Africa
525;Jamaica;56;5.89;0.819;1.493;0.693;0.575;0.031;0.096;2018;Latin America and Caribbean
526;South Korea;57;5.875;1.266;1.204;0.955;0.244;0.051;0.175;2018;East Asia
528;Russia;59;5.81;1.151;1.479;0.599;0.399;0.025;0.065;2018;Commonwealth of Independent States
529;Kazakhstan;60;5.79;1.143;1.516;0.631;0.454;0.121;0.148;2018;Commonwealth of Independent States
530;Cyprus;61;5.762;1.229;1.191;0.909;0.423;0.035;0.202;2018;Western Europe
531;Bolivia;62;5.752;0.751;1.223;0.508;0.606;0.054;0.141;2018;Latin America and Caribbean
532;Estonia;63;5.739;1.2;1.532;0.737;0.553;0.174;0.086;2018;Central and Eastern Europe
533;Paraguay;64;5.681;0.835;1.522;0.615;0.541;0.074;0.162;2018;Latin America and Caribbean
534;Peru;65;5.663;0.934;1.249;0.674;0.53;0.034;0.092;2018;Latin America and Caribbean
535;Kosovo;66;5.662;0.855;1.23;0.578;0.448;0.023;0.274;2018;Central and Eastern Europe
536;Moldova;67;5.64;0.657;1.301;0.62;0.232;0;0.171;2018;Commonwealth of Independent States
537;Turkmenistan;68;5.636;1.016;1.533;0.517;0.417;0.037;0.199;2018;Commonwealth of Independent States
538;Hungary;69;5.62;1.171;1.401;0.732;0.259;0.022;0.061;2018;Central and Eastern Europe
539;Libya;70;5.566;0.985;1.35;0.553;0.496;0.148;0.116;2018;Middle East and North Africa
540;Philippines;71;5.524;0.775;1.312;0.513;0.643;0.105;0.12;2018;Southeast Asia
541;Honduras;72;5.504;0.62;1.205;0.622;0.459;0.074;0.197;2018;Latin America and Caribbean
542;Belarus;73;5.483;1.039;1.498;0.7;0.307;0.154;0.101;2018;Commonwealth of Independent States
543;Turkey;74;5.483;1.148;1.38;0.686;0.324;0.109;0.106;2018;Middle East and North Africa
544;Pakistan;75;5.472;0.652;0.81;0.424;0.334;0.113;0.216;2018;South Asia
546;Portugal;77;5.41;1.188;1.429;0.884;0.562;0.017;0.055;2018;Western Europe
547;Serbia;78;5.398;0.975;1.369;0.685;0.288;0.043;0.134;2018;Central and Eastern Europe
548;Greece;79;5.358;1.154;1.202;0.879;0.131;0.044;0;2018;Western Europe
549;Lebanon;80;5.358;0.965;1.179;0.785;0.503;0.136;0.214;2018;Middle East and North Africa
550;Montenegro;81;5.347;1.017;1.279;0.729;0.259;0.081;0.111;2018;Central and Eastern Europe
551;Croatia;82;5.321;1.115;1.161;0.737;0.38;0.039;0.12;2018;Central and Eastern Europe
552;Dominican Republic;83;5.302;0.982;1.441;0.614;0.578;0.106;0.12;2018;Latin America and Caribbean
553;Algeria;84;5.295;0.979;1.154;0.687;0.077;0.135;0.055;2018;Middle East and North Africa
554;Morocco;85;5.254;0.779;0.797;0.669;0.46;0.074;0.026;2018;Middle East and North Africa
555;China;86;5.246;0.989;1.142;0.799;0.597;0.103;0.029;2018;East Asia
556;Azerbaijan;87;5.201;1.024;1.161;0.603;0.43;0.176;0.031;2018;Commonwealth of Independent States
557;Tajikistan;88;5.199;0.474;1.166;0.598;0.292;0.034;0.187;2018;Commonwealth of Independent States
558;Macedonia;89;5.185;0.959;1.239;0.691;0.394;0.052;0.173;2018;Central and Eastern Europe
559;Jordan;90;5.161;0.822;1.265;0.645;0.468;0.134;0.13;2018;Middle East and North Africa
560;Nigeria;91;5.155;0.689;1.172;0.048;0.462;0.032;0.201;2018;Sub-Saharan Africa
561;Kyrgyzstan;92;5.131;0.53;1.416;0.594;0.54;0.035;0.281;2018;Commonwealth of Independent States
562;Bosnia and Herzegovina;93;5.129;0.915;1.078;0.758;0.28;0;0.216;2018;Central and Eastern Europe
563;Mongolia;94;5.125;0.914;1.517;0.575;0.395;0.032;0.253;2018;East Asia
564;Vietnam;95;5.103;0.715;1.365;0.702;0.618;0.079;0.177;2018;Southeast Asia
565;Indonesia;96;5.093;0.899;1.215;0.522;0.538;0.018;0.484;2018;Southeast Asia
568;Cameroon;99;4.975;0.535;0.891;0.182;0.454;0.043;0.183;2018;Sub-Saharan Africa
569;Bulgaria;100;4.933;1.054;1.515;0.712;0.359;0.009;0.064;2018;Central and Eastern Europe
570;Nepal;101;4.88;0.425;1.228;0.539;0.526;0.078;0.302;2018;South Asia
571;Venezuela;102;4.806;0.996;1.469;0.657;0.133;0.052;0.056;2018;Latin America and Caribbean
572;Gabon;103;4.758;1.036;1.164;0.404;0.356;0.052;0.032;2018;Sub-Saharan Africa
573;Palestinian Territories;104;4.743;0.642;1.217;0.602;0.266;0.076;0.086;2018;Middle East and North Africa
574;South Africa;105;4.724;0.94;1.41;0.33;0.516;0.056;0.103;2018;Sub-Saharan Africa
575;Iran;106;4.707;1.059;0.771;0.691;0.459;0.129;0.282;2018;Middle East and North Africa
576;Ivory Coast;107;4.671;0.541;0.872;0.08;0.467;0.103;0.146;2018;Sub-Saharan Africa
577;Ghana;108;4.657;0.592;0.896;0.337;0.499;0.029;0.212;2018;Sub-Saharan Africa
578;Senegal;109;4.631;0.429;1.117;0.433;0.406;0.082;0.138;2018;Sub-Saharan Africa
579;Laos;110;4.623;0.72;1.034;0.441;0.626;0.174;0.23;2018;Southeast Asia
580;Tunisia;111;4.592;0.9;0.906;0.69;0.271;0.063;0.04;2018;Middle East and North Africa
581;Albania;112;4.586;0.916;0.817;0.79;0.419;0.032;0.149;2018;Central and Eastern Europe
582;Sierra Leone;113;4.571;0.256;0.813;0;0.355;0.053;0.238;2018;Sub-Saharan Africa
583;Congo (Brazzaville);114;4.559;0.682;0.811;0.343;0.514;0.077;0.091;2018;Sub-Saharan Africa
584;Bangladesh;115;4.5;0.532;0.85;0.579;0.58;0.144;0.153;2018;South Asia
585;Sri Lanka;116;4.471;0.918;1.314;0.672;0.585;0.05;0.307;2018;South Asia
586;Iraq;117;4.456;1.01;0.971;0.536;0.304;0.095;0.148;2018;Middle East and North Africa
587;Mali;118;4.447;0.37;1.233;0.152;0.367;0.056;0.139;2018;Sub-Saharan Africa
588;Namibia;119;4.441;0.874;1.281;0.365;0.519;0.064;0.051;2018;Sub-Saharan Africa
589;Cambodia;120;4.433;0.549;1.088;0.457;0.696;0.065;0.256;2018;Southeast Asia
590;Burkina Faso;121;4.424;0.314;1.097;0.254;0.312;0.128;0.175;2018;Sub-Saharan Africa
591;Egypt;122;4.419;0.885;1.025;0.553;0.312;0.107;0.092;2018;Middle East and North Africa
592;Mozambique;123;4.417;0.198;0.902;0.173;0.531;0.158;0.206;2018;Sub-Saharan Africa
593;Kenya;124;4.41;0.493;1.048;0.454;0.504;0.055;0.352;2018;Sub-Saharan Africa
594;Zambia;125;4.377;0.562;1.047;0.295;0.503;0.082;0.221;2018;Sub-Saharan Africa
595;Mauritania;126;4.356;0.557;1.245;0.292;0.129;0.093;0.134;2018;Sub-Saharan Africa
596;Ethiopia;127;4.35;0.308;0.95;0.391;0.452;0.146;0.22;2018;Sub-Saharan Africa
597;Georgia;128;4.34;0.853;0.592;0.643;0.375;0.215;0.038;2018;Commonwealth of Independent States
598;Armenia;129;4.321;0.816;0.99;0.666;0.26;0.028;0.077;2018;Commonwealth of Independent States
599;Myanmar;130;4.308;0.682;1.174;0.429;0.58;0.178;0.598;2018;Southeast Asia
600;Chad;131;4.301;0.358;0.907;0.053;0.189;0.06;0.181;2018;Sub-Saharan Africa
601;Congo (Kinshasa);132;4.245;0.069;1.136;0.204;0.312;0.052;0.197;2018;Sub-Saharan Africa
602;India;133;4.19;0.721;0.747;0.485;0.539;0.093;0.172;2018;South Asia
603;Niger;134;4.166;0.131;0.867;0.221;0.39;0.099;0.175;2018;Sub-Saharan Africa
604;Uganda;135;4.161;0.322;1.09;0.237;0.45;0.061;0.259;2018;Sub-Saharan Africa
605;Benin;136;4.141;0.378;0.372;0.24;0.44;0.067;0.163;2018;Sub-Saharan Africa
607;Ukraine;138;4.103;0.793;1.413;0.609;0.163;0.011;0.187;2018;Commonwealth of Independent States
608;Togo;139;3.999;0.259;0.474;0.253;0.434;0.101;0.158;2018;Sub-Saharan Africa
609;Guinea;140;3.964;0.344;0.792;0.211;0.394;0.094;0.185;2018;Sub-Saharan Africa
610;Lesotho;141;3.808;0.472;1.215;0.079;0.423;0.112;0.116;2018;Sub-Saharan Africa
612;Madagascar;143;3.774;0.262;0.908;0.402;0.221;0.049;0.155;2018;Sub-Saharan Africa
613;Zimbabwe;144;3.692;0.357;1.094;0.248;0.406;0.099;0.132;2018;Sub-Saharan Africa
614;Afghanistan;145;3.632;0.332;0.537;0.255;0.085;0.036;0.191;2018;South Asia
615;Botswana;146;3.59;1.017;1.174;0.417;0.557;0.092;0.042;2018;Sub-Saharan Africa
616;Malawi;147;3.587;0.186;0.541;0.306;0.531;0.08;0.21;2018;Sub-Saharan Africa
617;Haiti;148;3.582;0.315;0.714;0.289;0.025;0.104;0.392;2018;Latin America and Caribbean
618;Liberia;149;3.495;0.076;0.858;0.267;0.419;0.03;0.206;2018;Sub-Saharan Africa
620;Rwanda;151;3.408;0.332;0.896;0.4;0.636;0.444;0.2;2018;Sub-Saharan Africa
621;Yemen;152;3.355;0.442;1.073;0.343;0.244;0.064;0.083;2018;Middle East and North Africa
622;Tanzania;153;3.303;0.455;0.991;0.381;0.481;0.097;0.27;2018;Sub-Saharan Africa
623;South Sudan;154;3.254;0.337;0.608;0.177;0.112;0.106;0.224;2018;Sub-Saharan Africa
624;Central African Republic;155;3.083;0.024;0;0.01;0.305;0.038;0.218;2018;Sub-Saharan Africa
625;Burundi;156;2.905;0.091;0.627;0.145;0.065;0.076;0.149;2018;Sub-Saharan Africa
626;Finland;1;7.769;1.34;1.587;0.986;0.596;0.393;0.153;2019;Western Europe
627;Denmark;2;7.6;1.383;1.573;0.996;0.592;0.41;0.252;2019;Western Europe
628;Norway;3;7.554;1.488;1.582;1.028;0.603;0.341;0.271;2019;Western Europe
629;Iceland;4;7.494;1.38;1.624;1.026;0.591;0.118;0.354;2019;Western Europe
630;Netherlands;5;7.488;1.396;1.522;0.999;0.557;0.298;0.322;2019;Western Europe
631;Switzerland;6;7.48;1.452;1.526;1.052;0.572;0.343;0.263;2019;Western Europe
632;Sweden;7;7.343;1.387;1.487;1.009;0.574;0.373;0.267;2019;Western Europe
633;New Zealand;8;7.307;1.303;1.557;1.026;0.585;0.38;0.33;2019;North America and ANZ
634;Canada;9;7.278;1.365;1.505;1.039;0.584;0.308;0.285;2019;North America and ANZ
635;Austria;10;7.246;1.376;1.475;1.016;0.532;0.226;0.244;2019;Western Europe
636;Australia;11;7.228;1.372;1.548;1.036;0.557;0.29;0.332;2019;North America and ANZ
637;Costa Rica;12;7.167;1.034;1.441;0.963;0.558;0.093;0.144;2019;Latin America and Caribbean
638;Israel;13;7.139;1.276;1.455;1.029;0.371;0.082;0.261;2019;Middle East and North Africa
639;Luxembourg;14;7.09;1.609;1.479;1.012;0.526;0.316;0.194;2019;Western Europe
640;United Kingdom;15;7.054;1.333;1.538;0.996;0.45;0.278;0.348;2019;Western Europe
641;Ireland;16;7.021;1.499;1.553;0.999;0.516;0.31;0.298;2019;Western Europe
642;Germany;17;6.985;1.373;1.454;0.987;0.495;0.265;0.261;2019;Western Europe
643;Belgium;18;6.923;1.356;1.504;0.986;0.473;0.21;0.16;2019;Western Europe
644;United States;19;6.892;1.433;1.457;0.874;0.454;0.128;0.28;2019;North America and ANZ
645;Czech Republic;20;6.852;1.269;1.487;0.92;0.457;0.036;0.046;2019;Central and Eastern Europe
646;United Arab Emirates;21;6.825;1.503;1.31;0.825;0.598;0.182;0.262;2019;Middle East and North Africa
647;Malta;22;6.726;1.3;1.52;0.999;0.564;0.151;0.375;2019;Western Europe
648;Mexico;23;6.595;1.07;1.323;0.861;0.433;0.073;0.074;2019;Latin America and Caribbean
649;France;24;6.592;1.324;1.472;1.045;0.436;0.183;0.111;2019;Western Europe
651;Chile;26;6.444;1.159;1.369;0.92;0.357;0.056;0.187;2019;Latin America and Caribbean
652;Guatemala;27;6.436;0.8;1.269;0.746;0.535;0.078;0.175;2019;Latin America and Caribbean
653;Saudi Arabia;28;6.375;1.403;1.357;0.795;0.439;0.132;0.08;2019;Middle East and North Africa
655;Spain;30;6.354;1.286;1.484;1.062;0.362;0.079;0.153;2019;Western Europe
656;Panama;31;6.321;1.149;1.442;0.91;0.516;0.054;0.109;2019;Latin America and Caribbean
657;Brazil;32;6.3;1.004;1.439;0.802;0.39;0.086;0.099;2019;Latin America and Caribbean
658;Uruguay;33;6.293;1.124;1.465;0.891;0.523;0.15;0.127;2019;Latin America and Caribbean
659;Singapore;34;6.262;1.572;1.463;1.141;0.556;0.453;0.271;2019;Southeast Asia
660;El Salvador;35;6.253;0.794;1.242;0.789;0.43;0.074;0.093;2019;Latin America and Caribbean
661;Italy;36;6.223;1.294;1.488;1.039;0.231;0.03;0.158;2019;Western Europe
662;Bahrain;37;6.199;1.362;1.368;0.871;0.536;0.11;0.255;2019;Middle East and North Africa
663;Slovakia;38;6.198;1.246;1.504;0.881;0.334;0.014;0.121;2019;Central and Eastern Europe
665;Poland;40;6.182;1.206;1.438;0.884;0.483;0.05;0.117;2019;Central and Eastern Europe
666;Uzbekistan;41;6.174;0.745;1.529;0.756;0.631;0.24;0.322;2019;Commonwealth of Independent States
667;Lithuania;42;6.149;1.238;1.515;0.818;0.291;0.042;0.043;2019;Central and Eastern Europe
668;Colombia;43;6.125;0.985;1.41;0.841;0.47;0.034;0.099;2019;Latin America and Caribbean
669;Slovenia;44;6.118;1.258;1.523;0.953;0.564;0.057;0.144;2019;Central and Eastern Europe
670;Nicaragua;45;6.105;0.694;1.325;0.835;0.435;0.127;0.2;2019;Latin America and Caribbean
671;Kosovo;46;6.1;0.882;1.232;0.758;0.489;0.006;0.262;2019;Central and Eastern Europe
672;Argentina;47;6.086;1.092;1.432;0.881;0.471;0.05;0.066;2019;Latin America and Caribbean
673;Romania;48;6.07;1.162;1.232;0.825;0.462;0.005;0.083;2019;Central and Eastern Europe
674;Cyprus;49;6.046;1.263;1.223;1.042;0.406;0.041;0.19;2019;Western Europe
675;Ecuador;50;6.028;0.912;1.312;0.868;0.498;0.087;0.126;2019;Latin America and Caribbean
676;Kuwait;51;6.021;1.5;1.319;0.808;0.493;0.097;0.142;2019;Middle East and North Africa
677;Thailand;52;6.008;1.05;1.409;0.828;0.557;0.028;0.359;2019;Southeast Asia
678;Latvia;53;5.94;1.187;1.465;0.812;0.264;0.064;0.075;2019;Central and Eastern Europe
679;South Korea;54;5.895;1.301;1.219;1.036;0.159;0.056;0.175;2019;East Asia
680;Estonia;55;5.893;1.237;1.528;0.874;0.495;0.161;0.103;2019;Central and Eastern Europe
681;Jamaica;56;5.89;0.831;1.478;0.831;0.49;0.028;0.107;2019;Latin America and Caribbean
682;Mauritius;57;5.888;1.12;1.402;0.798;0.498;0.06;0.215;2019;Sub-Saharan Africa
683;Japan;58;5.886;1.327;1.419;1.088;0.445;0.14;0.069;2019;East Asia
684;Honduras;59;5.86;0.642;1.236;0.828;0.507;0.078;0.246;2019;Latin America and Caribbean
685;Kazakhstan;60;5.809;1.173;1.508;0.729;0.41;0.096;0.146;2019;Commonwealth of Independent States
686;Bolivia;61;5.779;0.776;1.209;0.706;0.511;0.064;0.137;2019;Latin America and Caribbean
687;Hungary;62;5.758;1.201;1.41;0.828;0.199;0.02;0.081;2019;Central and Eastern Europe
688;Paraguay;63;5.743;0.855;1.475;0.777;0.514;0.08;0.184;2019;Latin America and Caribbean
690;Peru;65;5.697;0.96;1.274;0.854;0.455;0.027;0.083;2019;Latin America and Caribbean
691;Portugal;66;5.693;1.221;1.431;0.999;0.508;0.025;0.047;2019;Western Europe
692;Pakistan;67;5.653;0.677;0.886;0.535;0.313;0.098;0.22;2019;South Asia
693;Russia;68;5.648;1.183;1.452;0.726;0.334;0.031;0.082;2019;Commonwealth of Independent States
694;Philippines;69;5.631;0.807;1.293;0.657;0.558;0.107;0.117;2019;Southeast Asia
695;Serbia;70;5.603;1.004;1.383;0.854;0.282;0.039;0.137;2019;Central and Eastern Europe
696;Moldova;71;5.529;0.685;1.328;0.739;0.245;0;0.181;2019;Commonwealth of Independent States
697;Libya;72;5.525;1.044;1.303;0.673;0.416;0.152;0.133;2019;Middle East and North Africa
698;Montenegro;73;5.523;1.051;1.361;0.871;0.197;0.08;0.142;2019;Central and Eastern Europe
699;Tajikistan;74;5.467;0.493;1.098;0.718;0.389;0.144;0.23;2019;Commonwealth of Independent States
700;Croatia;75;5.432;1.155;1.266;0.914;0.296;0.022;0.119;2019;Central and Eastern Europe
702;Dominican Republic;77;5.425;1.015;1.401;0.779;0.497;0.101;0.113;2019;Latin America and Caribbean
703;Bosnia and Herzegovina;78;5.386;0.945;1.212;0.845;0.212;0.006;0.263;2019;Central and Eastern Europe
704;Turkey;79;5.373;1.183;1.36;0.808;0.195;0.106;0.083;2019;Middle East and North Africa
705;Malaysia;80;5.339;1.221;1.171;0.828;0.508;0.024;0.26;2019;Southeast Asia
706;Belarus;81;5.323;1.067;1.465;0.789;0.235;0.142;0.094;2019;Commonwealth of Independent States
707;Greece;82;5.287;1.181;1.156;0.999;0.067;0.034;0;2019;Western Europe
708;Mongolia;83;5.285;0.948;1.531;0.667;0.317;0.038;0.235;2019;East Asia
710;Nigeria;85;5.265;0.696;1.111;0.245;0.426;0.041;0.215;2019;Sub-Saharan Africa
711;Kyrgyzstan;86;5.261;0.551;1.438;0.723;0.508;0.023;0.3;2019;Commonwealth of Independent States
712;Turkmenistan;87;5.247;1.052;1.538;0.657;0.394;0.028;0.244;2019;Commonwealth of Independent States
713;Algeria;88;5.211;1.002;1.16;0.785;0.086;0.114;0.073;2019;Middle East and North Africa
714;Morocco;89;5.208;0.801;0.782;0.782;0.418;0.076;0.036;2019;Middle East and North Africa
715;Azerbaijan;90;5.208;1.043;1.147;0.769;0.351;0.182;0.035;2019;Commonwealth of Independent States
716;Lebanon;91;5.197;0.987;1.224;0.815;0.216;0.027;0.166;2019;Middle East and North Africa
717;Indonesia;92;5.192;0.931;1.203;0.66;0.491;0.028;0.498;2019;Southeast Asia
718;China;93;5.191;1.029;1.125;0.893;0.521;0.1;0.058;2019;East Asia
719;Vietnam;94;5.175;0.741;1.346;0.851;0.543;0.073;0.147;2019;Southeast Asia
721;Cameroon;96;5.044;0.549;0.91;0.331;0.381;0.037;0.187;2019;Sub-Saharan Africa
722;Bulgaria;97;5.011;1.092;1.513;0.815;0.311;0.004;0.081;2019;Central and Eastern Europe
723;Ghana;98;4.996;0.611;0.868;0.486;0.381;0.04;0.245;2019;Sub-Saharan Africa
724;Ivory Coast;99;4.944;0.569;0.808;0.232;0.352;0.09;0.154;2019;Sub-Saharan Africa
725;Nepal;100;4.913;0.446;1.226;0.677;0.439;0.089;0.285;2019;South Asia
726;Jordan;101;4.906;0.837;1.225;0.815;0.383;0.13;0.11;2019;Middle East and North Africa
727;Benin;102;4.883;0.393;0.437;0.397;0.349;0.082;0.175;2019;Sub-Saharan Africa
728;Congo (Brazzaville);103;4.812;0.673;0.799;0.508;0.372;0.093;0.105;2019;Sub-Saharan Africa
729;Gabon;104;4.799;1.057;1.183;0.571;0.295;0.055;0.043;2019;Sub-Saharan Africa
730;Laos;105;4.796;0.764;1.03;0.551;0.547;0.164;0.266;2019;Southeast Asia
731;South Africa;106;4.722;0.96;1.351;0.469;0.389;0.055;0.13;2019;Sub-Saharan Africa
732;Albania;107;4.719;0.947;0.848;0.874;0.383;0.027;0.178;2019;Central and Eastern Europe
733;Venezuela;108;4.707;0.96;1.427;0.805;0.154;0.047;0.064;2019;Latin America and Caribbean
734;Cambodia;109;4.7;0.574;1.122;0.637;0.609;0.062;0.232;2019;Southeast Asia
735;Palestinian Territories;110;4.696;0.657;1.247;0.672;0.225;0.066;0.103;2019;Middle East and North Africa
736;Senegal;111;4.681;0.45;1.134;0.571;0.292;0.072;0.153;2019;Sub-Saharan Africa
738;Namibia;113;4.639;0.879;1.313;0.477;0.401;0.056;0.07;2019;Sub-Saharan Africa
739;Niger;114;4.628;0.138;0.774;0.366;0.318;0.102;0.188;2019;Sub-Saharan Africa
740;Burkina Faso;115;4.587;0.331;1.056;0.38;0.255;0.113;0.177;2019;Sub-Saharan Africa
741;Armenia;116;4.559;0.85;1.055;0.815;0.283;0.064;0.095;2019;Commonwealth of Independent States
742;Iran;117;4.548;1.1;0.842;0.785;0.305;0.125;0.27;2019;Middle East and North Africa
743;Guinea;118;4.534;0.38;0.829;0.375;0.332;0.086;0.207;2019;Sub-Saharan Africa
744;Georgia;119;4.519;0.886;0.666;0.752;0.346;0.164;0.043;2019;Commonwealth of Independent States
745;Gambia;120;4.516;0.308;0.939;0.428;0.382;0.167;0.269;2019;Sub-Saharan Africa
746;Kenya;121;4.509;0.512;0.983;0.581;0.431;0.053;0.372;2019;Sub-Saharan Africa
747;Mauritania;122;4.49;0.57;1.167;0.489;0.066;0.088;0.106;2019;Sub-Saharan Africa
748;Mozambique;123;4.466;0.204;0.986;0.39;0.494;0.138;0.197;2019;Sub-Saharan Africa
749;Tunisia;124;4.461;0.921;1;0.815;0.167;0.055;0.059;2019;Middle East and North Africa
750;Bangladesh;125;4.456;0.562;0.928;0.723;0.527;0.143;0.166;2019;South Asia
751;Iraq;126;4.437;1.043;0.98;0.574;0.241;0.089;0.148;2019;Middle East and North Africa
752;Congo (Kinshasa);127;4.418;0.094;1.125;0.357;0.269;0.053;0.212;2019;Sub-Saharan Africa
753;Mali;128;4.39;0.385;1.105;0.308;0.327;0.052;0.153;2019;Sub-Saharan Africa
754;Sierra Leone;129;4.374;0.268;0.841;0.242;0.309;0.045;0.252;2019;Sub-Saharan Africa
755;Sri Lanka;130;4.366;0.949;1.265;0.831;0.47;0.047;0.244;2019;South Asia
756;Myanmar;131;4.36;0.71;1.181;0.555;0.525;0.172;0.566;2019;Southeast Asia
757;Chad;132;4.35;0.35;0.766;0.192;0.174;0.078;0.198;2019;Sub-Saharan Africa
758;Ukraine;133;4.332;0.82;1.39;0.739;0.178;0.01;0.187;2019;Commonwealth of Independent States
759;Ethiopia;134;4.286;0.336;1.033;0.532;0.344;0.1;0.209;2019;Sub-Saharan Africa
760;Swaziland;135;4.212;0.811;1.149;0;0.313;0.135;0.074;2019;Sub-Saharan Africa
761;Uganda;136;4.189;0.332;1.069;0.443;0.356;0.06;0.252;2019;Sub-Saharan Africa
762;Egypt;137;4.166;0.913;1.039;0.644;0.241;0.067;0.076;2019;Middle East and North Africa
763;Zambia;138;4.107;0.578;1.058;0.426;0.431;0.087;0.247;2019;Sub-Saharan Africa
764;Togo;139;4.085;0.275;0.572;0.41;0.293;0.085;0.177;2019;Sub-Saharan Africa
765;India;140;4.015;0.755;0.765;0.588;0.498;0.085;0.2;2019;South Asia
766;Liberia;141;3.975;0.073;0.922;0.443;0.37;0.033;0.233;2019;Sub-Saharan Africa
767;Comoros;142;3.973;0.274;0.757;0.505;0.142;0.078;0.275;2019;Sub-Saharan Africa
768;Madagascar;143;3.933;0.274;0.916;0.555;0.148;0.041;0.169;2019;Sub-Saharan Africa
769;Lesotho;144;3.802;0.489;1.169;0.168;0.359;0.093;0.107;2019;Sub-Saharan Africa
770;Burundi;145;3.775;0.046;0.447;0.38;0.22;0.18;0.176;2019;Sub-Saharan Africa
771;Zimbabwe;146;3.663;0.366;1.114;0.433;0.361;0.089;0.151;2019;Sub-Saharan Africa
772;Haiti;147;3.597;0.323;0.688;0.449;0.026;0.11;0.419;2019;Latin America and Caribbean
773;Botswana;148;3.488;1.041;1.145;0.538;0.455;0.1;0.025;2019;Sub-Saharan Africa
775;Malawi;150;3.41;0.191;0.56;0.495;0.443;0.089;0.218;2019;Sub-Saharan Africa
776;Yemen;151;3.38;0.287;1.163;0.463;0.143;0.077;0.108;2019;Middle East and North Africa
777;Rwanda;152;3.334;0.359;0.711;0.614;0.555;0.411;0.217;2019;Sub-Saharan Africa
778;Tanzania;153;3.231;0.476;0.885;0.499;0.417;0.147;0.276;2019;Sub-Saharan Africa
779;Afghanistan;154;3.203;0.35;0.517;0.361;0;0.025;0.158;2019;South Asia
780;Central African Republic;155;3.083;0.026;0;0.105;0.225;0.035;0.235;2019;Sub-Saharan Africa
781;South Sudan;156;2.853;0.306;0.575;0.295;0.01;0.091;0.202;2019;Sub-Saharan Africa
782;Finland;1;7.808700085;1.285189509;1.499525905;0.961271405;0.66231674;0.477857262;0.159670442;2020;Western Europe
783;Denmark;2;7.645599842;1.326948524;1.503449202;0.979332566;0.665039897;0.495260328;0.242793396;2020;Western Europe
784;Switzerland;3;7.559899807;1.39077425;1.472403407;1.040533185;0.62895447;0.407945901;0.269055754;2020;Western Europe
785;Iceland;4;7.504499912;1.326501608;1.547567487;1.000843406;0.661980748;0.144540772;0.362330228;2020;Western Europe
786;Norway;5;7.487999916;1.42420733;1.495172501;1.008071899;0.670200884;0.434100568;0.287985086;2020;Western Europe
787;Netherlands;6;7.448900223;1.338946342;1.463645935;0.975675344;0.61362648;0.368569762;0.336317569;2020;Western Europe
788;Sweden;7;7.353499889;1.322235227;1.433347702;0.986470461;0.650297701;0.442066371;0.272827893;2020;Western Europe
789;New Zealand;8;7.299600124;1.242317915;1.48721838;1.008138299;0.646789908;0.461268276;0.325726211;2020;North America and ANZ
790;Austria;9;7.294199944;1.317285538;1.437444925;1.000933528;0.603368878;0.281256139;0.255509764;2020;Western Europe
791;Luxembourg;10;7.237500191;1.536676049;1.387528419;0.986442685;0.610137045;0.367041469;0.19595392;2020;Western Europe
792;Canada;11;7.23210001;1.301647663;1.435391903;1.022501945;0.644028127;0.351701856;0.28152892;2020;North America and ANZ
793;Australia;12;7.222799778;1.310396433;1.477146268;1.022607684;0.621877193;0.335996419;0.324973613;2020;North America and ANZ
794;United Kingdom;13;7.164500237;1.273061037;1.457844973;0.97570008;0.525168657;0.322601646;0.373433441;2020;Western Europe
795;Israel;14;7.128600121;1.216463685;1.403256774;1.008052945;0.420699477;0.09989845;0.266861796;2020;Middle East and North Africa
796;Costa Rica;15;7.121399879;0.981107712;1.374853611;0.939635336;0.645017743;0.096362092;0.131266311;2020;Latin America and Caribbean
797;Ireland;16;7.093699932;1.446886778;1.470596433;0.975670695;0.587779939;0.373433262;0.295426995;2020;Western Europe
798;Germany;17;7.075799942;1.314184546;1.368543744;0.972114801;0.564274132;0.309362292;0.252037704;2020;Western Europe
799;United States;18;6.939599991;1.37398684;1.404786706;0.831618011;0.534608245;0.152284741;0.298143059;2020;North America and ANZ
800;Czech Republic;19;6.910900116;1.212322354;1.40528667;0.89456445;0.505744576;0.049803223;0.046325929;2020;Central and Eastern Europe
801;Belgium;20;6.863500118;1.295842767;1.398677588;0.964901149;0.499805421;0.208724052;0.146966159;2020;Western Europe
